"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","All NACE economic sectors","Thousand","1990.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","112"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Construction (F)","Thousand","126.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","285.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Transportation and storage (H)","Thousand","90.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Accommodation and food service activities (I)","Thousand","131.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Information and communication (J)","Thousand","88"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","110.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Administrative and support service activities (N)","Thousand","81.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","93.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Education (P)","Thousand","139.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Human health and social work activities (Q)","Thousand","248.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Industry (B to E)","Thousand","258.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","111.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Other NACE activities (R to U)","Thousand","103.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","All NACE economic sectors","Thousand","1073.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Agriculture, forestry and fishing (A)","Thousand","96.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Construction (F)","Thousand","119.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","132.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Transportation and storage (H)","Thousand","74"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Accommodation and food service activities (I)","Thousand","64.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Information and communication (J)","Thousand","58.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Professional, scientific and technical activities (M)","Thousand","67"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Administrative and support service activities (N)","Thousand","45"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","49.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Education (P)","Thousand","37.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Human health and social work activities (Q)","Thousand","48.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Industry (B to E)","Thousand","183"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","50.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Other NACE activities (R to U)","Thousand","42.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","All NACE economic sectors","Thousand","917.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Agriculture, forestry and fishing (A)","Thousand","16"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Construction (F)","Thousand","7.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","152.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Transportation and storage (H)","Thousand","16.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Accommodation and food service activities (I)","Thousand","66.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Information and communication (J)","Thousand","30"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Professional, scientific and technical activities (M)","Thousand","43.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Administrative and support service activities (N)","Thousand","37"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","44.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Education (P)","Thousand","102.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Human health and social work activities (Q)","Thousand","200.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Industry (B to E)","Thousand","74.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","60.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Other NACE activities (R to U)","Thousand","61.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q3","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","All NACE economic sectors","Thousand","1973.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","111"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Construction (F)","Thousand","115.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","281.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Transportation and storage (H)","Thousand","89.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Accommodation and food service activities (I)","Thousand","133.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Information and communication (J)","Thousand","88.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","112.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Administrative and support service activities (N)","Thousand","79"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","95.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Education (P)","Thousand","139"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Human health and social work activities (Q)","Thousand","248.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Industry (B to E)","Thousand","253.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","109.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Other NACE activities (R to U)","Thousand","104.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","All NACE economic sectors","Thousand","1061.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Agriculture, forestry and fishing (A)","Thousand","95.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Construction (F)","Thousand","107.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","132.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Transportation and storage (H)","Thousand","72.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Accommodation and food service activities (I)","Thousand","65.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Information and communication (J)","Thousand","58.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Professional, scientific and technical activities (M)","Thousand","66.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Administrative and support service activities (N)","Thousand","42.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","51.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Education (P)","Thousand","36"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Human health and social work activities (Q)","Thousand","49.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Industry (B to E)","Thousand","181.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","53"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Other NACE activities (R to U)","Thousand","41.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","All NACE economic sectors","Thousand","911.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","Agriculture, forestry and fishing (A)","Thousand","15.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","Construction (F)","Thousand","7.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","149.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","Transportation and storage (H)","Thousand","16.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","Accommodation and food service activities (I)","Thousand","67.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q4","Female","Information and communication (J)","Thousand","29.9"
